group,symbol,size,outer_d_mm,inner_d_mm,thickness_mm,SWD_mm,LWD_mm,unit,length_m,weight,note,列1,列2
チャンネル,C,150×75×9,,,,,,bar,,24,長さ=5.5mまたは6m,,
チャンネル,C,200×80×7.5,,,,,,bar,,24.6,長さ=5.5mまたは6m,,
チャンネル,C,200×90×8,,,,,,bar,,30.3,長さ=5.5mまたは6m,,
チャンネル,C,250×90×9,,,,,,bar,,34.6,長さ=5.5mまたは6m,,
チャンネル,C,250×90×11,,,,,,bar,,40.2,長さ=5.5mまたは6m,,
チャンネル,C,300×90×9,,,,,,bar,,38.1,長さ=5.5mまたは6m,,
チャンネル,C,300×90×10,,,,,,bar,,43.8,長さ=5.5mまたは6m,,
チャンネル,C,300×90×12,,,,,,bar,,48.6,長さ=5.5mまたは6m,,
,,,,,,,,,,,,,
フラットバー,FB,3×13,,,3.2,,,bar,,0.306,,,
フラットバー,FB,3×16,,,3.2,,,bar,,0.377,,,
フラットバー,FB,3×19,,,3.2,,,bar,,0.447,,,
フラットバー,FB,3×22,,,3.2,,,bar,,0.518,,,
フラットバー,FB,3×25,,,3.2,,,bar,,0.589,,,
フラットバー,FB,3×32,,,3.2,,,bar,,0.754,,,
フラットバー,FB,3×38,,,3.2,,,bar,,0.895,,,
フラットバー,FB,3×44,,,3.2,,,bar,,1.04,,,
フラットバー,FB,3×50,,,3.2,,,bar,,1.18,,,
,,,,,,,,,,,,,
フラットバー,FB,4.5×13,,,4.5,,,bar,,0.459,,,
フラットバー,FB,4.5×16,,,4.5,,,bar,,0.565,,,
フラットバー,FB,4.5×19,,,4.5,,,bar,,0.671,,,
フラットバー,FB,4.5×22,,,4.5,,,bar,,0.777,,,
フラットバー,FB,4.5×25,,,4.5,,,bar,,0.883,,,
フラットバー,FB,4.5×32,,,4.5,,,bar,,1.13,,,
フラットバー,FB,4.5×38,,,4.5,,,bar,,1.34,,,
フラットバー,FB,4.5×44,,,4.5,,,bar,,1.55,,,
フラットバー,FB,4.5×50,,,4.5,,,bar,,1.77,,,
フラットバー,FB,4.5×65,,,4.5,,,bar,,2.3,,,
フラットバー,FB,4.5×75,,,4.5,,,bar,,2.65,,,
フラットバー,FB,4.5×90,,,4.5,,,bar,,3.18,,,
フラットバー,FB,4.5×100,,,4.5,,,bar,,3.53,,,
,,,,,,,,,,,,,
フラットバー,FB,6×13,,,6,,,bar,,0.612,,,
フラットバー,FB,6×16,,,6,,,bar,,0.754,,,
フラットバー,FB,6×19,,,6,,,bar,,0.895,,,
フラットバー,FB,6×22,,,6,,,bar,,1.04,,,
フラットバー,FB,6×25,,,6,,,bar,,1.18,,,
フラットバー,FB,6×32,,,6,,,bar,,1.51,,,
フラットバー,FB,6×38,,,6,,,bar,,1.79,,,
フラットバー,FB,6×44,,,6,,,bar,,2.07,,,
フラットバー,FB,6×50,,,6,,,bar,,2.36,,,
フラットバー,FB,6×65,,,6,,,bar,,3.06,,,
フラットバー,FB,6×75,,,6,,,bar,,3.53,,,
フラットバー,FB,6×90,,,6,,,bar,,4.24,,,
フラットバー,FB,6×100,,,6,,,bar,,4.71,,,
フラットバー,FB,6×125,,,6,,,bar,,5.89,,,
フラットバー,FB,6×150,,,6,,,bar,,7.06,,,
フラットバー,FB,6×175,,,6,,,bar,,8.24,,,
フラットバー,FB,6×200,,,6,,,bar,,9.42,,,
フラットバー,FB,6×250,,,6,,,bar,,11.8,,,
フラットバー,FB,6×300,,,6,,,bar,,14.1,,,
,,,,,,,,,,,,,
フラットバー,FB,9×16,,,9,,,bar,,1.13,,,
フラットバー,FB,9×19,,,9,,,bar,,1.33,,,
フラットバー,FB,9×22,,,9,,,bar,,1.55,,,
フラットバー,FB,9×25,,,9,,,bar,,1.77,,,
フラットバー,FB,9×32,,,9,,,bar,,2.26,,,
フラットバー,FB,9×38,,,9,,,bar,,2.68,,,
フラットバー,FB,9×44,,,9,,,bar,,3.11,,,
フラットバー,FB,9×50,,,9,,,bar,,3.53,,,
フラットバー,FB,9×65,,,9,,,bar,,4.59,,,
フラットバー,FB,9×75,,,9,,,bar,,5.3,,,
フラットバー,FB,9×90,,,9,,,bar,,6.36,,,
フラットバー,FB,9×100,,,9,,,bar,,7.06,,,
フラットバー,FB,9×125,,,9,,,bar,,8.83,,,
フラットバー,FB,9×150,,,9,,,bar,,10.6,,,
フラットバー,FB,9×175,,,9,,,bar,,12.4,,,
フラットバー,FB,9×200,,,9,,,bar,,14.1,,,
フラットバー,FB,9×250,,,9,,,bar,,17.7,,,
フラットバー,FB,9×300,,,9,,,bar,,21.2,,,
フラットバー,FB,9×350,,,9,,,bar,,24.7,,,
,,,,,,,,,,,,,
フラットバー,FB,12×25,,,12,,,bar,,2.36,,,
フラットバー,FB,12×32,,,12,,,bar,,3.02,,,
フラットバー,FB,12×38,,,12,,,bar,,3.59,,,
フラットバー,FB,12×44,,,12,,,bar,,4.16,,,
フラットバー,FB,12×50,,,12,,,bar,,4.72,,,
フラットバー,FB,12×65,,,12,,,bar,,6.14,,,
フラットバー,FB,12×75,,,12,,,bar,,7.08,,,
フラットバー,FB,12×90,,,12,,,bar,,8.5,,,
フラットバー,FB,12×100,,,12,,,bar,,9.44,,,
フラットバー,FB,12×125,,,12,,,bar,,11.8,,,
フラットバー,FB,12×150,,,12,,,bar,,14.1,,,
フラットバー,FB,12×175,,,12,,,bar,,15.5,,,
フラットバー,FB,12×200,,,12,,,bar,,18.88,,,
フラットバー,FB,12×250,,,12,,,bar,,23.6,,,
フラットバー,FB,12×300,,,12,,,bar,,28.3,,,
